episode,reward,moving_avg
1,5.0,N/A
2,-38.0,N/A
3,-60.0,N/A
4,-60.0,N/A
5,7.0,N/A
6,-60.0,N/A
7,-74.5884572681199,N/A
8,-2.0,N/A
9,-60.0,N/A
10,-60.0,N/A
11,-36.0,N/A
12,-60.0,N/A
13,-60.0,N/A
14,-60.0,N/A
15,8.0,N/A
16,-60.0,N/A
17,-64.65685424949238,N/A
18,-60.0,N/A
19,0.3431457505076203,N/A
20,-4.0,N/A
21,0.41154273188010393,N/A
22,-37.0,N/A
23,-60.0,N/A
24,14.0,N/A
25,-8.0,N/A
26,1.411542731880104,N/A
27,-20.0,N/A
28,-64.65685424949238,N/A
29,-14.0,N/A
30,10.34314575050762,N/A
31,13.0,N/A
32,-60.0,N/A
33,-8.65685424949238,N/A
34,0.0,N/A
35,-10.0,N/A
36,-64.65685424949238,N/A
37,-64.65685424949238,N/A
38,-5.65685424949238,N/A
39,-7.0,N/A
40,-33.65685424949238,N/A
41,-16.0,N/A
42,-20.0,N/A
43,-60.0,N/A
44,-60.0,N/A
45,-23.0,N/A
46,-60.0,N/A
47,-60.0,N/A
48,8.34314575050762,N/A
49,-2.0,N/A
50,-16.0,N/A
51,16.0,N/A
52,-60.0,N/A
53,-60.0,N/A
54,-14.0,N/A
55,-9.588457268119896,N/A
56,-60.0,N/A
57,-60.0,N/A
58,-60.0,N/A
59,6.34314575050762,N/A
60,-60.0,N/A
61,-60.0,N/A
62,-60.0,N/A
63,-15.31370849898476,N/A
64,-60.0,N/A
65,-64.65685424949238,N/A
66,18.0,N/A
67,-15.0,N/A
68,-2.0,N/A
69,-60.0,N/A
70,-60.0,N/A
71,-79.24531151761228,N/A
72,-60.0,N/A
73,-60.0,N/A
74,-60.0,N/A
75,-16.0,N/A
76,-10.0,N/A
77,-60.0,N/A
78,7.0,N/A
79,-60.0,N/A
80,-64.65685424949238,N/A
81,-20.0,N/A
82,-60.0,N/A
83,-64.65685424949238,N/A
84,-28.656854249492383,N/A
85,19.0,N/A
86,-18.0,N/A
87,-34.588457268119896,N/A
88,-60.0,N/A
89,-60.0,N/A
90,-9.0,N/A
91,-6.245311517612276,N/A
92,11.0,N/A
93,-60.0,N/A
94,-36.0,N/A
95,1.6862915010152406,N/A
96,-60.0,N/A
97,-60.0,N/A
98,-60.0,N/A
99,19.0,N/A
100,-60.0,-33.7591314011618
101,9.34314575050762,-33.71569994365672
102,6.68629150101524,-33.268837028646566
103,13.0,-32.53883702864656
104,-32.0,-32.25883702864656
105,-60.0,-32.92883702864656
106,-7.0,-32.39883702864657
107,2.6862915010152406,-31.626089540955217
108,-22.0,-31.826089540955213
109,-64.65685424949238,-31.872658083450133
110,-64.65685424949238,-31.91922662594506
111,-27.0,-31.829226625945058
112,-60.0,-31.829226625945058
113,-26.0,-31.48922662594506
114,-60.0,-31.489226625945065
115,-2.0,-31.589226625945066
116,14.0,-30.849226625945064
117,-60.0,-30.80265808345014
118,1.3431457505076203,-30.189226625945064
119,7.68629150101524,-30.115795168439988
120,-6.0,-30.135795168439987
121,-60.0,-30.739910595758786
122,-26.0,-30.629910595758787
123,-60.0,-30.62991059575879
124,14.0,-30.62991059575879
125,-38.0,-30.92991059575879
126,-28.0,-31.224026023077588
127,8.34314575050762,-30.940594565572514
128,-69.31370849898477,-30.98716310806744
129,-60.0,-31.44716310806744
130,-19.0,-31.74059456557251
131,19.0,-31.68059456557251
132,7.0,-31.01059456557251
133,12.0,-30.804026023077586
134,-64.65685424949238,-31.450594565572505
135,-60.0,-31.95059456557251
136,-60.0,-31.904026023077584
137,-18.656854249492383,-31.444026023077587
138,-64.65685424949238,-32.03402602307759
139,3.0,-31.934026023077582
140,-60.0,-32.197457480582656
141,2.0,-32.01745748058266
142,-60.0,-32.41745748058266
143,-60.0,-32.41745748058266
144,-60.0,-32.41745748058266
145,8.34314575050762,-32.10402602307759
146,-36.0,-31.864026023077592
147,10.34314575050762,-31.160594565572513
148,11.0,-31.13402602307759
149,-64.65685424949238,-31.76059456557251
150,-13.0,-31.730594565572506
151,-60.0,-32.49059456557251
152,-64.65685424949238,-32.53716310806743
153,-43.65685424949238,-32.373731650562355
154,7.0,-32.163731650562355
155,-5.65685424949238,-32.12441562037608
156,-60.0,-32.124415620376084
157,19.0,-31.33441562037608
158,-4.0,-30.77441562037608
159,-64.65685424949238,-31.484415620376076
160,-60.0,-31.484415620376076
161,8.0,-30.80441562037608
162,-60.0,-30.804415620376083
163,19.0,-30.46127853538624
164,0.0,-29.861278535386237
165,-13.0,-29.34470999289131
166,-60.0,-30.12470999289131
167,-36.0,-30.334709992891312
168,-3.6568542494923797,-30.351278535386236
169,2.0,-29.731278535386235
