episode,reward,moving_avg
1,12.0,N/A
2,17.0,N/A
3,14.0,N/A
4,9.0,N/A
5,1.0294372515228591,N/A
6,12.34314575050762,N/A
7,11.0,N/A
8,16.0,N/A
9,17.0,N/A
10,18.0,N/A
11,19.0,N/A
12,12.0,N/A
13,19.0,N/A
14,17.0,N/A
15,10.0,N/A
16,8.34314575050762,N/A
17,11.0,N/A
18,10.34314575050762,N/A
19,13.0,N/A
20,14.0,N/A
21,7.0,N/A
22,10.34314575050762,N/A
23,19.0,N/A
24,7.0,N/A
25,12.34314575050762,N/A
26,13.0,N/A
27,9.0,N/A
28,8.0,N/A
29,11.0,N/A
30,11.0,N/A
31,7.34314575050762,N/A
32,-3.6274169979695223,N/A
33,8.34314575050762,N/A
34,6.34314575050762,N/A
35,9.0,N/A
36,19.0,N/A
37,16.0,N/A
38,15.0,N/A
39,11.0,N/A
40,14.0,N/A
41,16.0,N/A
42,15.0,N/A
43,13.0,N/A
44,15.0,N/A
45,7.34314575050762,N/A
46,4.0,N/A
47,17.0,N/A
48,12.0,N/A
49,9.34314575050762,N/A
50,17.0,N/A
51,13.0,N/A
52,0.6862915010152406,N/A
53,17.0,N/A
54,18.0,N/A
55,11.0,N/A
56,18.0,N/A
57,13.0,N/A
58,13.0,N/A
59,19.0,N/A
60,14.0,N/A
61,13.0,N/A
62,19.0,N/A
63,16.0,N/A
64,12.0,N/A
65,12.0,N/A
66,10.0,N/A
67,17.0,N/A
68,5.686291501015239,N/A
69,6.68629150101524,N/A
70,15.0,N/A
71,-3.0,N/A
72,14.0,N/A
73,-1.0,N/A
74,18.0,N/A
75,19.0,N/A
76,17.0,N/A
77,16.0,N/A
78,16.0,N/A
79,17.0,N/A
80,12.0,N/A
81,18.0,N/A
82,8.0,N/A
83,12.0,N/A
84,7.34314575050762,N/A
85,14.0,N/A
86,18.0,N/A
87,3.686291501015239,N/A
88,19.0,N/A
89,9.0,N/A
90,2.3431457505076203,N/A
91,18.0,N/A
92,11.0,N/A
93,12.0,N/A
94,13.0,N/A
95,-3.2453115176122767,N/A
96,9.0,N/A
97,11.0,N/A
98,19.0,N/A
99,17.0,N/A
100,0.0,12.030196237460935
101,13.34314575050762,12.043627694966009
102,15.0,12.02362769496601
